,Rank,Bank name,Market cap (US$ billion),MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
0,1,JPMorgan Chase,432.92,346.34,419.93,36798.2
1,2,Bank of America,231.52,185.22,224.57,19679.2
2,3,Industrial and Commercial Bank of China,194.56,155.65,188.72,16537.6
3,4,Agricultural Bank of China,160.68,128.54,155.86,13657.8
4,5,HDFC Bank,157.91,126.33,153.17,13422.35
5,6,Wells Fargo,155.87,124.7,151.19,13248.95
6,7,HSBC Holdings PLC,148.9,119.12,144.43,12656.5
7,8,Morgan Stanley,140.83,112.66,136.61,11970.55
8,9,China Construction Bank,139.82,111.86,135.63,11884.7
9,10,Bank of China,136.81,109.45,132.71,11628.85
